id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
29J4C9Mk0FoMifAUb2AnmK,Teri Isi Ada Pe Sanam,Kumar Sanu,"['Kumar Sanu', 'Sadhana Sargam']",0.478,0.438,6,-13.695,1,0.738,4.25E-05,0.372,0.829,153.06,311798,3,264,17,1220
69yvE5MyvJtMCx75cPl583,Kitaben Bahut Si,Asha Bhosle,"['Asha Bhosle', 'Vinod Rathod']",0.619,0.721,2,-7.53,0,0.423,8.56E-05,0.0587,0.808,97.32,389387,4,156,16,1608
6LVYBlYJ4pezcfk7V8Tttk,Chand Chhupa Badal Mein,Udit Narayan,"['Udit Narayan', 'Alka Yagnik']",0.402,0.61,11,-9.509,0,0.368,0,0.109,0.463,86.248,347013,4,122,16,1301
47flSBZJFtT4cVsC1OXOMt,Pehla Pehla Pyar-Spbalasubhramaniam,S. P. Balasubrahmanyam,['S. P. Balasubrahmanyam'],0.594,0.53,5,-10.226,0,0.443,3.71E-06,0.421,0.457,101.831,264307,4,111,11,952
1AhXEDyg2AbV7CAnyiAMvM,Mere Khwabon Mein,Lata Mangeshkar,['Lata Mangeshkar'],0.621,0.512,7,-11.074,0,0.634,0,0.0803,0.926,114.802,256440,4,122,6,1020
2rEKnx0JgrhwiWanoYdw5a,Chhupana Bhi Nahin Aata,Vinod Rathod,['Vinod Rathod'],0.502,0.592,10,-11.148,0,0.372,1.02E-05,0.162,0.773,79.937,419040,3,183,19,1740
6n6hEYHXBzWfdSzBX20ZRw,Tadap Tadap,KK,"['KK', 'Dominique']",0.468,0.462,2,-10.661,1,0.514,4.14E-06,0.162,0.161,160.307,397773,3,338,13,1340
54tzSEMiygXoQ6yTqUUb8L,Sochenge Tumhe Pyar,Kumar Sanu,['Kumar Sanu'],0.553,0.729,0,-10.778,1,0.789,0,0.0586,0.749,125.251,362888,4,188,13,1275
6NmGIj2leVHRKkHEGyechJ,Yeh Haseen Vadiyan Yeh Khula Aasman,A.R. Rahman,"['A.R. Rahman', 'S. P. Balasubrahmanyam', 'K. S. Chithra']",0.64,0.295,5,-16.357,1,0.425,2.05E-06,0.0804,0.107,121.903,320013,4,162,17,1177
6fIVkFeP4tk5CzFTPDf9PE,Jaadu Teri Nazar,Udit Narayan,['Udit Narayan'],0.604,0.689,6,-13.12,0,0.401,4.45E-05,0.104,0.673,87.838,279910,4,100,13,1170
3dDEqZAgmnMGeTh8sRueI4,Dheere Dheere Pyar Ko,Alka Yagnik,"['Alka Yagnik', 'Kumar Sanu']",0.533,0.451,9,-10.446,0,0.729,0.000251,0.331,0.801,120.553,328640,3,217,16,1267
5rzKf4kvAXeMewlN4jeATD,Sandese Aate Hai,Sonu Nigam,"['Sonu Nigam', 'Roop Kumar Rathod']",0.459,0.837,9,-9.168,1,0.685,0,0.173,0.729,88.942,632960,4,231,22,2573
4EfiODx46Zq7h5ORp2LVy9,Na Kajare Ki Dhar (With Jhankar Beats),Pankaj Udhas,"['Pankaj Udhas', 'Sadhana Sargam']",0.63,0.781,5,-10.534,0,0.629,1.84E-05,0.232,0.772,145.436,322627,4,193,15,1227
0mUrj2r2vS9x1dqyVoNsB2,Mujhse Juda Hokar,Lata Mangeshkar,"['Lata Mangeshkar', 'S. P. Balasubrahmanyam']",0.553,0.38,5,-18.311,0,0.446,2.87E-05,0.307,0.861,161.161,362173,4,242,24,1351
46jVr8q0uzUz9HIxQmjin4,Ye Toh Sach Hai Ke Bhagwan,Hariharan,"['Hariharan', 'Milind', 'Santosh', 'Pratima']",0.585,0.539,9,-10.052,0,0.47,4.43E-05,0.319,0.709,95.085,408477,4,161,17,1541
1ZcluxOLEoQEZHp8qsHVe2,Raah Mein Unse Mulaqat,Kumar Sanu,"['Kumar Sanu', 'Alka Yagnik']",0.403,0.633,11,-8.537,0,0.366,0.001,0.366,0.722,83.408,519227,4,179,23,1864
20g2vCsOHq5HQlpyItmsSx,Rooth Kar Hamse,Jatin Pandit,['Jatin Pandit'],0.333,0.424,9,-10.356,1,0.767,2.84E-06,0.414,0.579,183.647,315907,3,322,14,1118
3oGL4HTmIpiD3J0f80Viqt,Hum Dil De Chuke Sanam,Kavita Krishnamurthy,"['Kavita Krishnamurthy', 'Mohammad Salamat', 'Dominique']",0.625,0.459,8,-10.762,1,0.241,0.000657,0.134,0.424,111.079,406413,4,189,19,1386
1fwwcQiLtRhtGGNSEo5Lxr,"Chhoti Si Aasha - Version, 2",A.R. Rahman,"['A.R. Rahman', 'Minmini']",0.528,0.122,2,-20.391,1,0.481,9.42E-05,0.15,0.732,172.096,66920,4,47,6,207
3jNAbt95cAN8Z3LzMPfoUp,Aaye Ho Meri Zindagi Mein - Male Version,Udit Narayan,['Udit Narayan'],0.598,0.836,11,-12.336,1,0.646,0.017,0.0791,0.938,135.001,362933,3,267,15,1484
2MCn0XYasg6RAg3wVB9HEa,Mohe Chhedo Na,Lata Mangeshkar,['Lata Mangeshkar'],0.407,0.43,11,-14.295,1,0.802,0,0.0945,0.808,132.933,206600,3,148,8,679
1nJhWGqG6WQzf0eVWRw6aE,Yeh Lamhe Yeh Pal,Hariharan,['Hariharan'],0.573,0.435,7,-14.986,1,0.678,0,0.0465,0.745,127.239,213467,4,110,11,729
2Kja7rWFWrg3GcMQS3hyFN,Meri Duniya Hai,Sonu Nigam,"['Sonu Nigam', 'Kavita Krishnamurthy']",0.634,0.54,0,-10.506,1,0.491,5.53E-05,0.115,0.81,121.061,278107,4,137,13,1025
0l93A9IUolKUtMtjLL4dFY,To Chalun,Roop Kumar Rathod,['Roop Kumar Rathod'],0.52,0.766,8,-9.242,0,0.239,0.00021,0.129,0.714,144.13,458693,4,273,21,1741
4P4NsWdqLziZpEteU1uFCI,Chura Ke Dil Mera,Kumar Sanu,"['Kumar Sanu', 'Alka Yagnik']",0.613,0.696,8,-9.486,0,0.136,0.00222,0.053,0.874,122.056,474653,4,238,16,1792
5EdPQ6eGCPF86wT7dpRctw,Humne Ghar Chhoda Hai,Udit Narayan,"['Udit Narayan', 'Sadhana Sargam']",0.377,0.671,9,-11.217,0,0.793,0.00275,0.44,0.442,98.968,377067,4,154,16,1448
